Exam1,Exam2,Admitted
34.62,78.03,0
30.28,43.89,0
35.84,72.90,0
60.18,86.31,1
79.03,75.34,1
45.08,56.32,0
61.11,96.51,1
75.02,46.55,1
76.09,87.42,1
84.43,43.54,1
79.03,48.03,1
82.22,76.48,1
42.08,78.91,0
53.06,60.12,0
32.72,44.23,0
52.34,63.11,0
94.09,77.12,1
90.55,43.32,1
33.64,96.11,0
46.91,59.82,0
33.90,98.11,0
60.20,58.91,1
54.60,52.31,0
67.31,66.72,1
50.55,49.12,0
34.12,75.32,0
31.52,49.89,0
69.31,52.41,1
51.12,47.21,0
35.12,47.11,0
50.21,50.12,0
62.11,50.23,0
62.31,52.12,0
66.52,41.12,0
67.31,43.12,0
68.11,46.82,0
75.12,41.82,0
75.11,31.02,0
82.31,42.82,0
82.41,40.82,0
85.12,54.82,1
85.32,55.12,1
93.21,39.12,0
96.12,38.52,0
40.12,97.32,1
42.12,87.32,1
44.32,88.21,1
51.23,76.12,1
53.12,89.12,1
55.32,63.12,1
56.12,39.52,0
55.23,35.12,0
64.12,81.12,1
64.32,78.12,1
62.12,70.12,1
60.82,73.12,1
61.12,73.23,1
58.12,69.52,1
49.23,69.52,1
38.82,65.32,0
39.32,76.32,0
40.11,71.32,0
44.23,67.12,0
66.52,60.52,1
76.82,70.12,1
77.92,68.91,1
78.32,70.52,1
75.12,90.23,1
75.82,84.12,1
76.12,85.23,1
76.32,87.12,1
74.92,96.52,1
69.32,97.82,1
70.52,93.12,1
68.82,85.32,1
63.92,42.82,0
83.32,48.12,1
83.92,56.32,1
90.12,45.32,1
95.12,45.82,1
89.92,64.32,1
89.82,70.12,1
90.32,82.32,1
91.32,83.12,1
98.12,77.12,1
97.82,68.52,1
99.32,68.42,1
99.82,72.52,1
99.23,60.52,1
90.12,72.12,1
74.12,46.52,1
76.82,47.32,1
78.32,48.12,1
81.32,73.12,1
81.92,75.32,1
82.52,74.12,1
50.82,45.82,0
51.12,46.32,0
51.52,44.12,0
57.12,59.32,1
