Weekly_Study_Hours,Score
4.49,58.3
11.41,94.35
8.78,79.18
7.18,60.64
1.87,59.85
1.87,55.94
0.7,51.05
10.39,77.68
7.21,86.49
8.5,64.22
0.25,46.98
11.64,100.0
9.99,75.05
2.55,45.8
2.18,50.82
2.2,44.87
3.65,40.92
6.3,69.02
5.18,52.7
3.49,60.46
7.34,63.85
1.67,63.03
3.51,47.94
4.4,56.56
5.47,72.76
9.42,70.09
2.4,53.06
6.17,80.84
7.11,55.92
0.56,44.35
7.29,75.41
2.05,57.03
0.78,31.14
11.39,78.04
11.59,97.36
9.7,86.62
3.66,58.95
1.17,48.74
8.21,70.15
5.28,66.09
1.46,49.52
5.94,59.6
0.41,60.51
10.91,93.84
3.11,42.06
7.95,82.34
3.74,47.09
6.24,75.95
6.56,81.11
2.22,41.78
11.64,100.0
9.3,85.98
11.27,98.95
10.74,100.0
7.17,69.83
11.06,82.24
1.06,35.88
2.35,42.42
0.54,41.67
3.9,60.98
4.66,63.76
3.26,62.92
9.94,84.88
4.28,73.8
3.37,52.52
6.51,96.51
1.69,53.87
9.63,74.75
0.89,33.32
11.84,98.12
9.27,79.47
2.38,57.87
0.07,45.03
9.79,83.31
8.48,69.7
8.75,64.22
9.26,77.18
0.89,52.56
4.3,61.5
1.39,33.8
10.36,88.34
7.48,77.51
3.97,49.03
0.76,44.97
3.73,57.38
3.9,46.13
8.76,82.98
7.65,80.04
10.65,98.74
5.67,76.04
1.44,32.68
8.56,69.14
9.13,86.23
6.74,75.45
9.25,86.78
5.93,100.0
6.27,73.94
5.13,74.44
0.31,50.91
1.29,52.34
0.38,38.54
7.64,81.96
3.77,49.25
6.1,65.09
10.89,84.15
2.99,54.28
4.92,85.31
9.07,62.13
2.75,59.22
0.92,28.03
3.48,50.93
1.93,59.6
11.16,90.85
9.7,72.86
7.6,67.05
10.46,93.85
9.64,76.09
2.24,52.24
10.71,88.65
6.47,62.61
9.69,100.0
10.75,94.73
3.82,36.92
1.32,47.81
2.74,45.69
5.13,71.59
9.82,76.25
10.33,85.33
0.08,45.43
6.13,76.24
5.01,50.54
2.67,48.65
1.44,41.72
4.05,51.7
11.31,100.0
3.88,61.5
6.23,55.41
8.44,87.14
4.36,80.86
11.66,100.0
11.55,76.78
3.02,48.75
5.97,79.52
3.61,49.17
3.42,59.82
0.44,49.74
7.31,63.65
6.03,66.55
0.62,10.37
3.34,44.8
